id,wifi_SSID,address,manager_center,manager_phone,latitude,longitude
71,Public WiFi Free,전북특별자치도 전주시 완산구 향교길 119-6,전북특별자치도 전주시청,063-281-2300,35.8124679,127.1565548
72,Public WiFi Free,전북특별자치도 전주시 완산구 전주천동로 20,전북특별자치도 전주시청,063-281-2300,35.8119867,127.158493
73,Public WiFi Free,전북특별자치도 전주시 완산구 전주천동로 74,전북특별자치도 전주시청,063-281-2300,35.811245,127.1524913
74,Public WiFi Free,"전북특별자치도 전주시 덕진구 거북바우로 13, 금암도서관 (금암동)",전주시청,063-281-2300,35.83653,127.11401
75,Public WiFi Free,"전북특별자치도 전주시 덕진구 솔내로 212, 송천도서관 (송천동2가)",전주시청,063-281-2300,35.86971,127.12805
76,Public WiFi Free,"전북특별자치도 전주시 덕진구 안덕원로 349, 전주시립인후도서관 (인후동1가)",전주시청,063-281-2300,35.83972,127.1633
77,Public WiFi Free,"전북특별자치도 전주시 완산구 서신천변14길 10, 서신복합문화센터(도서관,서신주민센터) (서신동)",전주시청,063-281-2300,35.83116,127.11505
78,Public WiFi Free,"전북특별자치도 전주시 완산구 우전로 181, 효자도서관 (효자동2가)",전주시청,063-281-2300,38.81112,127.10075
79,Public WiFi Free,전북특별자치도 전주시 완산구 백제대로 306(중화산동2가),전주시청,063-281-2300,35.82048,127.12359
80,edu,"전북특별자치도 전주시 완산구 서원로 232, 완산구청 (효자동1가)",완산구청,063-220-5300,35.81239,127.11982
81,hyoja5,"전북특별자치도 전주시 완산구 우전로 259, 효자5동주민센터 (효자동2가)",완산구청,063-220-5300,35.81784,127.10152
82,Public WiFi Free,"전북특별자치도 전주시 완산구 서학3길 45, 일원 (서서학동)",전주시청,063-281-2300,35.80884,127.1519
83,Public WiFi Free,"전북특별자치도 전주시 완산구 전주객사1길 12-7, 일원 (다가동3가)",전주시청,063-281-2300,35.81715,127.14027
84,Public WiFi Free,전북특별자치도 전주시 덕진구 진버들5길 15-1(인후동1가),전주시청,063-281-2300,35.83649,127.16437
85,Public WiFi Free,전북특별자치도 전주시 완산구 풍남문2길 105-6(전동3가),전주시청,063-281-2300,35.81401,127.14809
